Id,CreationDate,PostId,RelatedPostId,LinkTypeId
35715,2010-10-08T08:11:18.640,2,6,1
1349949,2022-06-08T11:53:51.487,5,3779,1
33363,2010-10-06T06:24:53.060,14,874,1
275109,2011-08-28T02:39:36.630,27,5558,1
13460,2010-09-14T14:34:25.290,52,244,1
506845,2013-12-31T21:37:52.837,89,2756,1
1454858,2023-09-30T11:16:47.873,89,90513,1
48,2010-08-30T01:57:19.137,132,3,1
42990,2010-10-15T13:10:21.310,167,1548,1
358057,2012-01-03T19:39:41.403,170,7499,1
552238,2014-10-14T22:36:32.560,175,2591,1
552260,2014-10-15T01:13:14.760,175,2591,3
431788,2012-12-19T12:27:52.133,185,7428,1
33955,2010-10-06T22:19:20.330,186,816,1
17020,2010-09-16T18:07:02.663,205,164,1
657480,2016-03-07T08:22:11.427,228,37387,1
657712,2016-03-10T00:49:47.400,228,37387,3
16691,2010-09-16T09:23:16.697,236,141,1
172679,2011-05-13T20:38:49.547,240,244,1
1117902,2019-12-09T17:54:27.593,244,188,1
1072430,2019-07-21T13:27:41.643,244,562,1
54057,2010-10-22T14:34:19.380,244,573,1
54058,2010-10-22T14:34:19.380,244,1195,1
54059,2010-10-22T14:34:19.380,244,1414,1
54060,2010-10-22T14:34:19.380,244,1549,1
209387,2011-06-28T16:44:25.107,244,2056,1
514681,2014-03-17T03:05:55.240,244,2951,1
1306186,2021-12-01T16:05:51.437,244,3049,1
203720,2011-06-20T01:48:08.213,244,4341,1
1305129,2021-11-14T18:30:58.580,244,5251,1
1305867,2021-11-26T19:22:52.780,244,5612,1
995163,2018-08-07T22:49:36.017,244,7107,1
497391,2013-09-28T05:01:28.110,244,17743,1
1305784,2021-11-25T00:21:21.113,244,20593,1
514299,2014-03-12T13:13:52.987,244,20700,1
621492,2015-10-04T08:41:12.487,244,30709,1
1305232,2021-11-16T16:04:02.610,244,32719,1
1312878,2021-12-23T18:35:01.997,244,43499,1
720690,2016-11-27T02:32:20.840,244,44010,1
1108094,2019-10-24T21:20:44.697,244,45177,1
1306165,2021-12-01T09:24:31.633,244,47929,1
1306185,2021-12-01T15:51:37.983,244,52587,1
1311969,2021-12-03T18:51:18.190,244,55979,1
1352005,2022-07-03T02:00:42.977,244,67895,1
1305233,2021-11-16T16:17:31.523,244,77213,1
1306166,2021-12-01T09:24:31.633,244,81922,1
51093,2010-10-20T16:41:06.337,246,27,1
1090692,2019-08-14T12:20:04.637,249,57661,1
31,2010-08-26T20:33:50.797,262,261,1
81494,2010-12-22T06:17:41.417,296,2294,1
23810,2010-09-24T03:44:07.630,321,3,1
1154681,2020-05-04T15:31:16.253,325,9815,1
41509,2010-10-14T17:23:34.050,338,1396,1
1351325,2022-06-25T09:35:19.900,338,5941,1
53152,2010-10-21T20:46:41.427,350,1215,1
65,2010-08-31T19:13:55.077,367,27,1
66,2010-08-31T19:13:55.077,367,246,1
631174,2015-10-22T19:10:08.310,367,18688,1
538152,2014-07-25T09:25:19.683,367,21886,1
1099612,2019-09-20T20:46:21.127,367,35332,1
1099065,2019-09-18T21:52:32.897,367,49866,1
358293,2012-01-05T12:01:10.623,368,3868,1
21380,2010-09-21T20:57:27.263,369,1112,1
34418,2010-10-07T06:32:33.010,420,244,1
404645,2012-08-21T19:01:38.400,437,8740,1
88201,2011-01-06T20:41:07.457,463,2479,1
46159,2010-10-18T04:50:26.410,468,835,1
404127,2012-08-19T03:18:24.893,471,2744,1
670555,2016-05-02T02:18:47.543,512,515,1
65710,2010-11-19T01:17:01.790,512,777,1
78,2010-09-01T21:49:41.197,513,515,1
79,2010-09-01T21:49:41.197,513,518,1
687054,2016-07-06T05:56:13.090,515,39313,1
41013,2010-10-14T11:07:10.740,520,166,1
41014,2010-10-14T11:07:10.740,520,573,1
82,2010-09-02T00:17:39.220,525,478,1
92,2010-09-02T14:30:16.120,562,244,1
35034,2010-10-07T18:57:03.707,573,205,1
35033,2010-10-07T18:57:03.707,573,244,1
35035,2010-10-07T18:57:03.707,573,520,1
107888,2011-02-19T14:08:51.200,573,1817,1
381829,2012-05-11T08:59:20.207,592,5836,1
238,2010-09-03T01:01:31.437,616,471,1
540065,2014-08-07T23:33:58.253,660,16876,1
540064,2014-08-07T23:22:21.180,660,23352,1
540054,2014-08-07T21:52:06.663,660,24073,1
6677,2010-09-09T04:12:30.600,689,573,1
123539,2011-03-02T18:19:03.053,689,1666,1
18032,2010-09-17T22:01:53.590,716,130,1
343,2010-09-06T20:19:06.393,725,244,1
72243,2010-12-02T22:52:25.267,725,2301,1
40434,2010-10-13T23:02:35.393,730,1340,1
239185,2011-07-27T13:48:05.433,743,612,1
407225,2012-08-30T17:02:05.307,743,2580,1
409762,2012-09-09T19:12:26.253,743,7089,1
407156,2012-08-30T11:50:57.603,743,9948,1
406860,2012-08-28T23:20:13.663,743,11060,1
11530,2010-09-13T10:40:17.707,790,689,1
561898,2014-12-16T15:20:25.870,801,2410,1
561903,2014-12-16T16:33:02.823,801,2410,3
13434,2010-09-14T14:22:20.080,803,244,1
