Id,TagName,Count,ExcerptPostId,WikiPostId
1,schrader,36,91866,91865
2,presta,66,91906,91905
4,chain,965,3176,3175
5,lubricant,156,5375,5374
6,frames,939,5390,5389
10,single-speed,205,12807,12806
12,tire,1334,3116,3115
13,26-inch,33,4855,4854
19,full-suspension,89,44757,44756
21,derailleur,747,4280,4279
23,price,38,50921,50920
24,wheels,1168,3182,3181
27,racing,211,5505,5504
28,gears,727,5427,5426
31,crack,60,91761,91760
32,brakes,1222,4999,4998
33,puncture,248,5596,5595
35,cleaning,160,5517,5516
36,bottom-bracket,683,5515,5514
37,creak,47,51656,51655
38,clothes,151,5003,5002
39,spandex,4,,
40,noise,223,38917,38916
41,disc-brake,598,5503,5502
44,ergonomics,81,4198,4197
45,mechanical,180,3178,3177
46,valves,93,44690,44689
47,storage,95,44844,44843
49,dropouts,75,25399,25398
52,pedals,385,5373,5372
54,maintenance,1060,2498,2497
55,commuter,436,2500,2499
56,bmx,210,44842,44841
60,shimano,1453,4842,4841
68,hydraulic-disc-brake,421,44692,44691
72,road-bike,1576,3064,3063
73,security,103,5414,5413
74,lock,131,25437,25436
75,fork,542,5521,5520
77,drivetrain,364,6949,6948
78,maps,35,,
79,bikeroutes,53,,
80,trails,41,,
81,tools,193,5594,5593
82,iphone,10,,
87,coaster,47,63103,63102
93,hub,468,13001,13000
94,training,254,5371,5370
95,clipless,87,6524,6523
96,cargo,88,2511,2510
98,modification,75,,
99,performance,59,,
100,technique,137,44753,44752
101,resource,8,,
103,bearings,222,44759,44758
109,heart-rate,43,38493,38492
110,recumbent,78,9276,9275
112,injury,47,,
115,city,56,,
116,headset,239,38815,38814
118,terminology,67,55967,55966
122,brake-pads,136,21701,21700
123,bike-fit,349,5852,5851
125,touring,272,2993,2992
128,conversion,173,44789,44788
130,seatpost,238,38813,38812
131,saddle,255,6350,6349
134,visibility,24,,
135,traffic,91,38817,38816
136,car-rack,42,37079,37078
137,fixed-gear,205,5519,5518
138,theft,66,,
140,rim-brake,178,38819,38818
141,weight,122,41787,41786
143,panniers,88,4322,4321
145,handlebars,329,4997,4996
146,grips,29,,
150,weather,57,,
151,wind,30,91703,91702
152,repair,737,5001,5000
155,cannondale,91,91252,91251
156,handling,30,,
158,stem,172,30977,30976
162,product-rec,212,3180,3179
165,utility-cycling,11,,
166,headlights,87,10797,10796
169,glossary,5,,
170,steel,122,91715,91714
171,aluminum,112,38515,38514
172,trailer,124,5523,5522
174,rack,150,5394,5393
175,luggage,37,92118,92117
177,rust,99,91370,91369
178,chainring,499,5507,5506
179,wear,86,15882,15881
182,shifter,580,6947,6946
186,children,109,82948,82947
187,learning,31,,
188,indoor,47,81952,81951
189,trainer,131,38863,38862
190,rain,55,91763,91762
191,sram,269,5498,5497
192,winter,193,2492,2491
193,snow,35,6951,6950
194,ice,22,85745,85744
195,freewheel,252,20551,20550
196,etiquette,39,13099,13098
197,29er,54,4853,4852
200,tricycle,74,45119,45118
202,transport-by-car,22,,
203,uk,71,4828,4827
206,helmets,118,21698,21697
207,legal,113,12999,12998
208,chamois,7,,
211,accessories,121,4517,4516
212,safety,523,2494,2493
213,power,135,24438,24437
215,urban-riding,40,,
217,nutrition,64,30857,30856
218,braze-on,15,,
219,cyclocross,160,7141,7140
221,folding-bicycle,118,5377,5376
222,inflation,49,38869,38868
223,cassette,671,15234,15233
224,crankset,892,23513,23512
225,co2,11,,
226,pump,133,44695,44694
227,hayes,9,,
229,build,121,5431,5430
232,unicycle,13,8768,8767
233,messenger-bags,8,,
234,spokes,251,38525,38524
235,wheel-truing,87,23936,23935
236,book,5,,
237,fitness,87,30855,30854
238,health,131,10801,10800
239,advocacy,20,15891,15890
240,cadence,51,29333,29332
241,headphones,7,91701,91700
243,bags,58,,
245,diy,77,4844,4843
247,bike-computer,104,38865,38864
248,tricks,22,55501,55500
253,sprocket,148,45018,45017
254,canada,15,,
255,technology,35,,
256,camera,21,,
259,speed,148,44728,44727
260,parts,431,5590,5589
261,carbon,297,5433,5432
262,front,121,91719,91718
263,reference,23,5429,5428
264,climbing,63,38823,38822
265,shoes,136,44755,44754
267,signals,23,9467,9466
268,regional,40,4995,4994
270,bike-culture,12,,
272,clicking,59,,
274,fenders,85,91908,91907
277,used-bike,47,,
278,mountain-bike,1715,3068,3067
282,touring-bikes,108,23494,23493
286,parking,18,5396,5395
287,subjective,2,,
290,us,40,4826,4825
291,led-lights,46,10799,10798
294,upgrade-or-new-bike,38,17866,17865
295,electric-bike,311,36121,36120
296,public-transportation,14,3105,3104
298,drafting,20,38553,38552
304,charities,3,,
306,software,26,31922,31921
313,compact-crankset,36,91248,91247
314,chamois-creme,6,36593,36592
320,geometry,99,32232,32231
321,internally-geared-hub,233,23508,23507
323,child-seat,52,,
326,best-practice,19,,
329,off-road,58,,
338,randonneuring,13,3066,3065
339,skills,25,,
341,pollution,8,,
344,australia,10,,
345,turbo-trainer,53,77399,77398
346,rollers,24,77402,77401
351,suspension,303,21704,21703
353,leather,11,,
360,smartphone-mount,18,,
363,bike-setup,26,,
365,frozen,6,6955,6954
366,adjustment,123,,
372,shopping,101,58059,58058
374,exercise,43,74827,74826
376,cross-training,10,15498,15497
378,downtube-shifter,40,37085,37084
382,travelling,13,20596,20595
388,salt,14,,
389,commuting-bike,106,5525,5524
390,rims,389,30792,30791
404,performance-tracking,17,,
408,evaluation,9,,
409,master-link,36,46191,46190
410,bike-selection,35,4507,4506
416,tandems,66,12946,12945
421,open-source,3,,
424,framebuilding,64,5592,5591
425,restoration,75,,
430,prototype,3,,
431,bicycle,2,3075,3074
432,planning,30,,
447,belt-drive,64,65505,65504
449,design,65,,
453,history,45,44858,44857
458,kickstand,37,29344,29343
459,quick-release,105,8479,8478
463,wheel-building,177,38821,38820
464,frugal,118,3118,3117
466,brompton,32,28487,28486
469,europe,21,,
473,identify-this-bike,640,43592,43591
474,spd,58,4847,4846
476,electronics,38,,
478,electric-power,20,,
479,mixte,8,4849,4848
482,gps,71,38861,38860
484,android,8,,
487,transportation,65,9996,9995
490,chain-tug,9,,
491,installation,54,,
492,damage,181,63095,63094
493,corrosion,16,,
495,27-inch,20,4851,4850
496,gloves,19,,
501,london,17,4196,4195
502,lighting,116,47118,47117
506,upgrades,202,38890,38889
509,germany,25,,
510,sharing-scheme,12,,
511,torque-wrench,25,91870,91869
513,hybrid-bike,228,23515,23514
520,innertube,393,15236,15235
530,jacket,10,,
532,triathlon,39,24621,24620
534,women-specific,32,4537,4536
535,bottle,21,,
538,emergency,9,,
542,riding-position,75,,
543,hydration,38,37087,37086
545,gel-saddle,8,,
547,physics,45,,
549,clothing-care,11,,
552,lanes,5,,
553,protection,37,,
564,group-rides,29,,
569,cruiser,43,,
571,rim-tape,41,65772,65771
575,bike-lane,19,,
580,ceramic,6,73850,73849
583,parking-racks,12,5398,5397
585,body-hair,4,,
